"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"BLOC1S3",192.160878527459,0.26029972368612,0.11473492111337,2.26870530053284,0.0232862530594418,0.29520269850183
"SUPT3H",109.35933850495,0.260391256968812,0.123730343405009,2.10450605569296,0.0353343269296439,0.337417898494244
"NEO1",892.676096223132,0.261200778858828,0.0939487257193037,2.78024823497057,0.00543173597980536,0.158642895229067
"AFAP1",194.449309689312,0.262614494447462,0.120963370711388,2.17102493840095,0.0299292872983092,0.318291631094791
"CALU",2575.97225043543,0.262811985301705,0.0825009136068309,3.18556454482638,0.00144471872820786,0.0871483733015655
"HMGN4",438.733546217301,0.263042827692856,0.105632269198323,2.49017492182241,0.0127680238122527,0.226745323199587
"GPX3",9077.19462563138,0.263770526217698,0.118507973582725,2.22576184743867,0.0260301376134991,0.305881808594373
"SNRPD1",431.520495833296,0.263908389325704,0.0922631251294962,2.86038857837619,0.00423122208272833,0.141630542805506
"NIP7",377.795735223919,0.264131250525173,0.0992178811053903,2.66213355478343,0.0077647063341169,0.18326697898858
"NAP1L5",101.17340448988,0.264486898191686,0.117204791458751,2.25662189147591,0.0240317112675423,0.298869232203536
"MEGF9",3515.36685578021,0.265233356777744,0.124555802329652,2.12943397109491,0.033218372361163,0.330292000773128
"STXBP1",196.909175866969,0.265528794267834,0.124668953003167,2.12987105346982,0.0331822605337,0.330292000773128
"TTC7B",686.356463637429,0.266321787791666,0.123082481262908,2.16376680953314,0.0304822506177937,0.32046980360801
"MFSD5",288.320794325566,0.267080121791874,0.103313691717496,2.58513772329602,0.00973401069145046,0.200807222849721
"DNMT1",572.52782359826,0.267177508639181,0.131787510787227,2.02733557256835,0.0426281059201882,0.358553157025609
"FANCD2",92.1019762895056,0.269076041313148,0.130767850448809,2.05766203535234,0.0396225871410592,0.348195306313346
"LY96",120.818643691838,0.269755610678601,0.116608846427351,2.313337443456,0.0207040935546102,0.276650101698659
"CHD3",838.782343491209,0.269786791719773,0.136187124152277,1.98100072528231,0.0475911922511728,0.374247016805734
"CABLES1",790.407276991008,0.270601923481845,0.122946402482045,2.20097471759179,0.0277378137132448,0.311584973162545
"TIFA",213.035263042915,0.270799682009053,0.101271611134916,2.67399401445572,0.00749537892870727,0.181699668151495
"LAMC1",2003.18202415787,0.271378263202029,0.0844543218848833,3.21331409861931,0.00131212708940314,0.0835269579623026
"TPM4",1523.95533508095,0.271549332806597,0.131570538763414,2.06390682411728,0.0390265516062288,0.346278564894568
"FKBP14",271.053767293862,0.271697515843104,0.113235423144071,2.39940389940892,0.0164217897404057,0.25644923111101
"TMEM30B",595.62125186301,0.272169548859031,0.10753140946615,2.53107022599483,0.0113715078616998,0.21459511817825
"DPYSL2",989.112578141859,0.272215102954503,0.114839878383343,2.37038829008362,0.017769412772269,0.262904710136118
"GLUD1",38504.268825438,0.272434964184189,0.109842645722356,2.48022944451657,0.0131297864208317,0.230917167787002
"PAK1IP1",277.401745148823,0.272842349075097,0.115723972512285,2.35769947359985,0.0183885729363031,0.264709178958823
