Ensembl.ID	ENTREZ.ID	GeneSymbol	log2FC	pvalue
ENSG00000000003	7105	TSPAN6	-0.046420045	0.773118123
ENSG00000000005	64102	TNMD	-0.299564991	0.280121148
ENSG00000000419	8813	DPM1	0.06521939	0.2131199
ENSG00000000457	57147	SCYL3	-0.00244304	0.964761609
ENSG00000000460	55732	C1orf112	0.135981435	0.199571564
ENSG00000000938	2268	FGR	1.46547447	0.00000501
ENSG00000000971	3075	CFH	-0.028446438	0.902872626
ENSG00000001036	2519	FUCA2	0.031357537	0.664342995
ENSG00000001084	2729	GCLC	-0.063219478	0.468699665
ENSG00000001167	4800	NFYA	-0.067314167	0.112928901
ENSG00000001460	90529	STPG1	0.016310497	0.894705853
ENSG00000001461	57185	NIPAL3	-0.020234121	0.815199831
ENSG00000001497	81887	LAS1L	-0.052695875	0.326526168
ENSG00000001561	22875	ENPP4	0.087725819	0.43375728
ENSG00000001617	6405	SEMA3F	0.142024183	0.219952279
ENSG00000001626	1080	CFTR	-0.197893322	0.307267805
ENSG00000001629	54467	ANKIB1	-0.079231387	0.21284068
ENSG00000001630	1595	CYP51A1	0.409825871	0.045861465
ENSG00000001631	889	KRIT1	-0.079904322	0.102070086
ENSG00000002016	5893	RAD52	-0.021877896	0.823563683
ENSG00000002330	572	BAD	-0.054795298	0.718625889
ENSG00000002549	51056	LAP3	0.522829951	0.000622577
ENSG00000002586	4267	CD99	-0.057252086	0.461139569
ENSG00000002587	9957	HS3ST1	0.217753478	0.111696723
ENSG00000002726	26	AOC1	-0.058912636	0.760806338
ENSG00000002822	8379	MAD1L1	0.135367633	0.179515387
ENSG00000002834	3927	LASP1	0.045561148	0.61080123
ENSG00000002919	29916	SNX11	0.094367189	0.091321643
ENSG00000002933	55365	TMEM176A	-0.069758567	0.535797519
ENSG00000003056	4074	M6PR	-0.002103758	0.969959008
ENSG00000003096	90293	KLHL13	-0.303179922	0.044005147
ENSG00000003137	56603	CYP26B1	0.978555909	0.010075029
ENSG00000003147	3382	ICA1	0.024695797	0.823387144
ENSG00000003249	79007	DBNDD1	0.338229237	0.184499373
ENSG00000003393	57679	ALS2	-0.07680506	0.362014472
ENSG00000003400	843	CASP10	0.719546418	0.0000431
ENSG00000003402	8837	CFLAR	0.20455665	0.009639491
ENSG00000003436	7035	TFPI	-0.051812115	0.767326112
ENSG00000003509	55471	NDUFAF7	0.000717841	0.988085645
ENSG00000003756	10181	RBM5	-0.052919614	0.43825067
ENSG00000003989	6542	SLC7A2	-0.369339223	0.015272855
ENSG00000004059	381	ARF5	0.065365207	0.394947916
ENSG00000004139	23098	SARM1	-0.108025239	0.166574226
ENSG00000004142	26073	POLDIP2	-0.015833077	0.816707723
ENSG00000004399	23129	PLXND1	0.400273581	0.049912191
ENSG00000004455	204	AK2	-0.049942957	0.470170752
ENSG00000004468	952	CD38	0.83293379	0.003916706
ENSG00000004478	2288	FKBP4	-0.330431781	0.000306118
ENSG00000004487	23028	KDM1A	-0.125231996	0.008690998
ENSG00000004534	10180	RBM6	0.008552016	0.928368776
ENSG00000004660	84254	CAMKK1	0.211933047	0.038379926
ENSG00000004700	5965	RECQL	0.2119673	0.063195644
ENSG00000004776	126393	HSPB6	-0.164178613	0.539378892
ENSG00000004777	115703	ARHGAP33	0.109056921	0.532591497
ENSG00000004779	4706	NDUFAB1	-0.008858307	0.935925829
ENSG00000004799	5166	PDK4	-0.49851524	0.024623867
ENSG00000004848	170302	ARX	-0.16938798	0.415205299
ENSG00000004864	10165	SLC25A13	-0.095743602	0.396202781
ENSG00000004866	7982	ST7	0.087244376	0.18029858
ENSG00000004897	996	CDC27	0.145322013	0.028865776
ENSG00000004961	3052	HCCS	-0.015653337	0.86796056
ENSG00000004975	1856	DVL2	0.027550703	0.561075886
ENSG00000005001	64063	PRSS22	1.26378852	0.000521611
ENSG00000005007	5976	UPF1	-0.041016715	0.513607428
ENSG00000005020	8935	SKAP2	-0.142216159	0.044293088
ENSG00000005022	292	SLC25A5	0.010250503	0.938233283
ENSG00000005073	3207	HOXA11	-0.078682952	0.771323293
ENSG00000005075	5439	POLR2J	0.051505877	0.574458895
ENSG00000005100	56919	DHX33	-0.086276357	0.093416323
ENSG00000005102	4222	MEOX1	0.914546285	0.00098811
ENSG00000005108	221981	THSD7A	0.167349952	0.392818414
ENSG00000005156	3980	LIG3	0.030551193	0.607355461
ENSG00000005175	79657	RPAP3	-0.044948716	0.456009845
ENSG00000005187	6296	ACSM3	-0.033136231	0.864607075
ENSG00000005194	57019	CIAPIN1	-0.048254577	0.482341515
ENSG00000005206	56928	SPPL2B	-0.014601276	0.895787139
ENSG00000005238	80256	FAM214B	0.389641627	0.011440149
ENSG00000005243	51226	COPZ2	0.368604628	0.021118674
ENSG00000005249	5577	PRKAR2B	0.312839723	0.050726046
ENSG00000005302	10943	MSL3	0.103860115	0.324265799
ENSG00000005339	1387	CREBBP	-0.124576096	0.044146407
ENSG00000005436	6936	GCFC2	-0.198885057	0.004036537
ENSG00000005448	84058	WDR54	0.379658705	0.02053749
ENSG00000005469	54677	CROT	-0.381942361	0.018113152
ENSG00000005471	5244	ABCB4	-0.281972892	0.22122766
ENSG00000005483	55904	KMT2E	-0.183276289	0.014765174
ENSG00000005486	57414	RHBDD2	0.038839625	0.642150834
ENSG00000005513	30812	SOX8	-0.086919954	0.825617818
ENSG00000005700	25998	IBTK	-0.046775672	0.619484036
ENSG00000005801	7748	ZNF195	-0.118307334	0.021639512
ENSG00000005810	23077	MYCBP2	-0.05800692	0.667862947
ENSG00000005812	26224	FBXL3	-0.031906795	0.702690688
ENSG00000005844	3683	ITGAL	0.311071123	0.197150695
ENSG00000005882	5164	PDK2	-0.369610133	0.034889743
ENSG00000005884	3675	ITGA3	0.098187459	0.398858649
ENSG00000005889	7543	ZFX	-0.057174058	0.574207399
ENSG00000005893	3920	LAMP2	-0.001017914	0.98807839
ENSG00000006007	51573	GDE1	-0.144187014	0.140845846
ENSG00000006025	114881	OSBPL7	0.055474299	0.63210232
ENSG00000006042	26022	TMEM98	-0.227850566	0.144745175
ENSG00000006047	51087	YBX2	0.036629765	0.866954463
ENSG00000006062	9020	MAP3K14	-0.050306536	0.614020654
ENSG00000006071	6833	ABCC8	-0.187204241	0.337494136
ENSG00000006118	54972	TMEM132A	1.213902539	0.000099
ENSG00000006125	163	AP2B1	0.049016153	0.511024468
ENSG00000006128	6863	TAC1	-0.015860883	0.96691878
ENSG00000006194	10127	ZNF263	-0.116254409	0.005550939
ENSG00000006210	6376	CX3CL1	0.523505698	0.00698699
ENSG00000006282	64847	SPATA20	0.071214256	0.572945704
ENSG00000006327	51330	TNFRSF12A	0.567742277	0.021717664
ENSG00000006432	4293	MAP3K9	-0.114350366	0.159056137
ENSG00000006451	5898	RALA	0.085525908	0.309858547
ENSG00000006453	55971	BAIAP2L1	0.312393868	0.053105843
ENSG00000006468	2115	ETV1	-0.191830355	0.138370913
ENSG00000006530	55750	AGK	0.04112554	0.476666457
ENSG00000006534	221	ALDH3B1	0.2588397	0.070151727
ENSG00000006555	55001	TTC22	0.170063217	0.336089925
ENSG00000006576	57157	PHTF2	0.132911467	0.285870378
ENSG00000006606	10344	CCL26	0.679678298	0.007728635
ENSG00000006607	9855	FARP2	0.011736821	0.878294273
ENSG00000006611	10083	USH1C	-0.088136479	0.587934687
ENSG00000006625	79017	GGCT	0.01217545	0.886631715
ENSG00000006634	10926	DBF4	0.144801456	0.148210532
ENSG00000006638	6915	TBXA2R	0.443791466	0.033889091
ENSG00000006652	3475	IFRD1	0.084746789	0.382136233
ENSG00000006695	1352	COX10	-0.07791209	0.379884311
ENSG00000006704	9569	GTF2IRD1	0.081100542	0.471503824
ENSG00000006712	54623	PAF1	0.059765734	0.273688459
ENSG00000006715	27072	VPS41	-0.051846337	0.300218207
ENSG00000006740	9912	ARHGAP44	-0.1290775	0.501971045
ENSG00000006744	60528	ELAC2	-0.090080121	0.074795933
ENSG00000006747	85477	SCIN	-0.113074123	0.628547358
ENSG00000006756	414	ARSD	-0.157629043	0.299180587
ENSG00000006757	8228	PNPLA4	-0.026924982	0.84162104
ENSG00000006831	79602	ADIPOR2	0.002436547	0.9802394
ENSG00000007038	10942	PRSS21	0.85902471	0.021694608
ENSG00000007047	57787	MARK4	0.186129027	0.013418335
ENSG00000007062	8842	PROM1	0.029326866	0.888681321
ENSG00000007080	115098	CCDC124	0.057544404	0.658112115
ENSG00000007129	90273	CEACAM21	0.584059702	0.020339073
ENSG00000007168	5048	PAFAH1B1	-0.067746368	0.281274736
ENSG00000007171	4843	NOS2	2.589983758	0.000000000552
ENSG00000007202	9703	KIAA0100	-0.063718768	0.220281671
ENSG00000007216	9058	SLC13A2	-0.074509643	0.822090875
ENSG00000007237	8522	GAS7	0.056159686	0.763768934
ENSG00000007255	79090	TRAPPC6A	-0.181692093	0.148759368
ENSG00000007264	4145	MATK	-0.078079377	0.662152487
ENSG00000007306	1087	CEACAM7	0.043114398	0.935119677
ENSG00000007312	974	CD79B	0.051033257	0.906474393
ENSG00000007314	6329	SCN4A	-0.36591581	0.072431893
ENSG00000007341	54879	ST7L	-0.050024748	0.437125338
ENSG00000007372	5080	PAX6	-0.274763789	0.149318613
ENSG00000007376	113000	RPUSD1	0.039976436	0.713638731
ENSG00000007384	64285	RHBDF1	0.260569961	0.03760501
ENSG00000007392	55692	LUC7L	0.019161175	0.824962826
ENSG00000007402	9254	CACNA2D2	-0.322162182	0.062219704
ENSG00000007516	8938	BAIAP3	-0.210080728	0.195112728
ENSG00000007520	115939	TSR3	0.009733229	0.92404486
ENSG00000007541	9091	PIGQ	0.122026439	0.249501119
ENSG00000007866	7005	TEAD3	0.051681462	0.559169093
ENSG00000007908	6401	SELE	4.322393948	0.000000000000068
ENSG00000007923	55735	DNAJC11	-0.120505249	0.154204168
ENSG00000007933	2328	FMO3	1.938687369	0.00000728
ENSG00000007944	29116	MYLIP	-0.088165799	0.337355082
ENSG00000007952	27035	NOX1	0.17454838	0.606975586
ENSG00000007968	1870	E2F2	-0.078773599	0.547073724
ENSG00000008018	5689	PSMB1	0.13617126	0.034299505
ENSG00000008056	6853	SYN1	-0.124524241	0.503334304
ENSG00000008083	3720	JARID2	0.001489716	0.981896646
ENSG00000008086	6792	CDKL5	0.062121444	0.673759821
ENSG00000008128	728642	CDK11A	0.521933484	0.008209786
ENSG00000008130	65220	NADK	0.120021443	0.045687724
ENSG00000008226	9940	DLEC1	0.155357805	0.331058187
ENSG00000008256	9265	CYTH3	-0.037350697	0.700952284
ENSG00000008277	53616	ADAM22	-0.359854732	0.035632124
ENSG00000008282	6856	SYPL1	0.006219999	0.904229937
ENSG00000008283	1534	CYB561	0.084630293	0.35295269
ENSG00000008294	9043	SPAG9	0.021128576	0.818890808
ENSG00000008300	1951	CELSR3	0.094308649	0.492650913
ENSG00000008311	10157	AASS	0.144209207	0.352768416
ENSG00000008323	55200	PLEKHG6	-0.164178544	0.430718641
ENSG00000008324	51188	SS18L2	0.032751937	0.584554836
ENSG00000008382	84954	MPND	-0.05316944	0.655642822
ENSG00000008394	4257	MGST1	0.070428874	0.607228683
ENSG00000008405	1407	CRY1	-0.024169072	0.787856455
ENSG00000008441	4784	NFIX	-0.134982851	0.166757913
ENSG00000008513	6482	ST3GAL1	0.989473244	0.000195977
ENSG00000008516	64386	MMP25	0.818960829	0.001720421
ENSG00000008517	9235	IL32	0.161815356	0.323266351
ENSG00000008710	5310	PKD1	-0.026081926	0.841954262
ENSG00000008735	23542	MAPK8IP2	-0.322419715	0.042282944
ENSG00000008838	9862	MED24	0.019163823	0.687268849
ENSG00000008853	23221	RHOBTB2	-0.642742971	0.008089109
ENSG00000008869	54497	HEATR5B	-0.104638861	0.126573419
ENSG00000008952	7095	SEC62	-0.069762127	0.143024446
ENSG00000008988	6224	RPS20	-0.054812945	0.521289136
ENSG00000009307	7812	CSDE1	-0.079149276	0.164264107
ENSG00000009335	9690	UBE3C	-0.070388241	0.17802823
ENSG00000009413	5980	REV3L	-0.228578746	0.008024915
ENSG00000009694	10178	TENM1	-0.689087283	0.010704844
ENSG00000009765	389434	IYD	-0.344659944	0.128178336
ENSG00000009780	199870	FAM76A	-0.067144332	0.277101695
ENSG00000009790	80342	TRAF3IP3	0.174935569	0.526702735
ENSG00000009830	29954	POMT2	-0.029254952	0.629639588
ENSG00000009844	51534	VTA1	-0.029387024	0.695380679
ENSG00000009950	51085	MLXIPL	-0.436855942	0.070539122
ENSG00000009954	9031	BAZ1B	-0.102895732	0.0272244
ENSG00000010017	10048	RANBP9	0.056306824	0.207779535
ENSG00000010030	51513	ETV7	1.02540855	0.000000127
ENSG00000010072	83932	SPRTN	0.056861681	0.349378274
ENSG00000010219	8798	DYRK4	-0.001689058	0.97830042
ENSG00000010244	7756	ZNF207	0.079118133	0.088702436
ENSG00000010256	7384	UQCRC1	-0.023323054	0.838589658
ENSG00000010270	83930	STARD3NL	0.041277723	0.392732231
ENSG00000010278	928	CD9	-0.056164841	0.698798134
ENSG00000010292	9918	NCAPD2	0.081055952	0.335616904
ENSG00000010295	25900	IFFO1	0.511337336	0.013156931
ENSG00000010310	2696	GIPR	0.409171731	0.024922376
ENSG00000010318	51533	PHF7	-0.05275592	0.673563919
ENSG00000010319	56920	SEMA3G	-0.368035303	0.09863579
ENSG00000010322	11188	NISCH	-0.12247542	0.05676506
ENSG00000010327	23166	STAB1	-0.093993207	0.643173402
ENSG00000010361	80199	FUZ	0.093887268	0.340993456
ENSG00000010404	3423	IDS	-0.064668907	0.485827225
ENSG00000010438	5646	PRSS3	-0.039285061	0.827028424
ENSG00000010539	7752	ZNF200	0.088022669	0.216929444
ENSG00000010610	920	CD4	0.155435568	0.437047176
ENSG00000010626	10233	LRRC23	-0.050238796	0.637376058
ENSG00000010671	695	BTK	0.211636176	0.459424969
ENSG00000010704	3077	HFE	0.21303636	0.008022683
ENSG00000010803	22955	SCMH1	-0.112791314	0.067657625
ENSG00000010810	2534	FYN	0.287248241	0.122652856
ENSG00000010818	3097	HIVEP2	0.121922277	0.33526411
ENSG00000010932	2326	FMO1	-2.056805849	0.000363693
ENSG00000011009	11313	LYPLA2	-0.016612278	0.863751977
ENSG00000011021	1185	CLCN6	0.036476515	0.65475473
ENSG00000011028	9902	MRC2	0.475117434	0.051536227
ENSG00000011083	6534	SLC6A7	0.079821043	0.72307281
ENSG00000011105	10867	TSPAN9	0.45869865	0.006805876
ENSG00000011114	55727	BTBD7	-0.070186672	0.295238937
ENSG00000011132	9546	APBA3	0.018662247	0.856476537
ENSG00000011143	54903	MKS1	0.018127954	0.737720664
ENSG00000011198	51099	ABHD5	0.054832885	0.647383598
ENSG00000011243	26993	AKAP8L	0.029821003	0.661037955
ENSG00000011258	54799	MBTD1	-0.161587588	0.065702644
ENSG00000011260	51096	UTP18	-0.061107498	0.333143972
ENSG00000011275	54476	RNF216	-0.012735059	0.842894096
ENSG00000011295	54902	TTC19	-0.190192858	0.038070669
ENSG00000011304	5725	PTBP1	0.060506338	0.291820534
ENSG00000011347	9066	SYT7	-0.103998221	0.586174159
ENSG00000011376	23395	LARS2	0.099800541	0.253482487
ENSG00000011405	5286	PIK3C2A	-0.001023207	0.988568192
ENSG00000011422	5329	PLAUR	1.114024953	0.000847443
ENSG00000011426	54443	ANLN	0.339794182	0.041791997
ENSG00000011451	58525	WIZ	-0.02563263	0.726503751
ENSG00000011454	23637	RABGAP1	-0.140626333	0.049746687
ENSG00000011465	1634	DCN	0.384369916	0.149770579
ENSG00000011478	54814	QPCTL	0.241345693	0.006899102
ENSG00000011485	5536	PPP5C	-0.012408513	0.820412724
ENSG00000011523	23177	CEP68	-0.231327317	0.026658678
ENSG00000011566	8491	MAP4K3	-0.040010435	0.631280858
ENSG00000011590	27033	ZBTB32	0.900504443	0.038046477
ENSG00000011600	7305	TYROBP	0.537008982	0.009406919
ENSG00000011638	57146	TMEM159	0.140118813	0.167987334
ENSG00000012048	672	BRCA1	0.093406309	0.502376867
ENSG00000012061	2067	ERCC1	-0.034069422	0.51434446
ENSG00000012124	933	CD22	-0.170257354	0.710803187
ENSG00000012171	7869	SEMA3B	-0.145446403	0.444312287
ENSG00000012174	51360	MBTPS2	0.015615126	0.806029577
ENSG00000012211	4007	PRICKLE3	-0.135987398	0.036734427
ENSG00000012223	4057	LTF	0.084256368	0.8506796
ENSG00000012232	2137	EXTL3	0.087880299	0.213105104
ENSG00000012504	9971	NR1H4	-1.837998041	0.00000131
ENSG00000012660	60481	ELOVL5	0.491710969	0.015112764
ENSG00000012779	240	ALOX5	0.581525476	0.013250769
ENSG00000012817	8284	KDM5D	-0.174961855	0.822335703
ENSG00000012822	57658	CALCOCO1	0.035018609	0.695748018
ENSG00000012963	55148	UBR7	-0.093827106	0.045367172
ENSG00000012983	11183	MAP4K5	0.105913169	0.05625092
ENSG00000013016	30845	EHD3	0.584067218	0.022300979
ENSG00000013275	5704	PSMC4	0.089419122	0.316170057
ENSG00000013288	23324	MAN2B2	0.196471325	0.001484584
ENSG00000013293	57709	SLC7A14	-0.810837516	0.009403642
ENSG00000013297	5010	CLDN11	0.564090148	0.036475629
ENSG00000013306	51629	SLC25A39	-0.023081677	0.762305974
ENSG00000013364	9961	MVP	0.00833816	0.938719267
ENSG00000013374	51667	NUB1	0.220300832	0.005974549
ENSG00000013375	5238	PGM3	0.212205889	0.031153766
ENSG00000013392	112611	RWDD2A	0.249633214	0.000436773
ENSG00000013441	1195	CLK1	0.024117889	0.8396718
ENSG00000013503	55703	POLR3B	-0.124207079	0.075507857
